ID,Rec,Use,iOS,Age,Gender
549fcdbd0475afa49e0dae082dc2c09d1733658164,Codziennie,Codziennie,Codziennie,18-29,Kobieta
2be8aa7346d340124098ba79aa0a36b01733658453,Codziennie,Codziennie,Codziennie,18-29,Kobieta
d7d410b719a10b856fac62268fae38941733658795,Czasami,Czasami,Nigdy,18-29,Mężczyzna
788363606b94bc5287ad4993ce8d06a51733658929,Codziennie,Codziennie,Nigdy,18-29,Mężczyzna
9fab9574260c983026ec6714840a09391733659047,Czasami,Czasami,Nigdy,18-29,Mężczyzna
ade39a2546b37ca616a477b94b24819d1733660477,Czasami,Czasami,Nigdy,18-29,Mężczyzna
430d2a2f8086f88fdd2ffadfdcdbd1971733662875,Nigdy,Nigdy,Nigdy,18-29,Mężczyzna
dc3aa11dd51cb5050b08cd9eb1da044b1733664445,Codziennie,Codziennie,Czasami,18-29,Kobieta
870a7577316f5caf9c11d232ed1132651733665866,Codziennie,Czasami,Codziennie,18-29,Mężczyzna
d294e6edf998add2c67ff3455ee67fb61733672543,Codziennie,Codziennie,Codziennie,50-59,Kobieta
cf74344d95197893ea2b239f1c3c20a01733682902,Codziennie,Codziennie,Nigdy,18-29,Kobieta
2eb4c93c24b9b49801b2a4061936a8661733686231,Czasami,Czasami,Codziennie,18-29,Mężczyzna
d62303e67dd07ab6b188b7af0b99aec41733686888,Codziennie,Codziennie,Codziennie,18-29,Kobieta
1aa8d0ca4cde4a8c3086efbc4cfef4bb1733690112,Codziennie,Codziennie,Nigdy,18-29,Inna
dfe3f03b445bf54cb585e15b5b882d5a1733691034,Czasami,Czasami,Nigdy,18-29,Inna
ea37bf3c940e87cc67fa0c23619303881733697573,Codziennie,Codziennie,Codziennie,18-29,Mężczyzna
9617af7269a1313daeba079e5a305e7c1733730363,Czasami,Codziennie,Nigdy,50-59,Mężczyzna
1691b350c84b8b64e37cef2228a953df1733734826,Codziennie,Codziennie,Nigdy,40-49,Mężczyzna
3213bbc269c453977511cf159b5edb6b1733736273,Czasami,Czasami,Nigdy,18-29,Kobieta
9a2cd9c8a3dad27ed4d5bee2089b05001733739208,Codziennie,Codziennie,Codziennie,18-29,Kobieta
24f7a71e2f2b22d1dd5dd2dc3f1923e81733739882,Codziennie,Codziennie,Codziennie,30-39,Mężczyzna
e31144f6c66e3bfeda8754d37bfb48d61733766855,Czasami,Czasami,Nigdy,50-59,Kobieta
5238de4ead8a7fb3b257742aa7358e3c1733772435,Codziennie,Codziennie,Codziennie,50-59,Kobieta
2f3d9d0cf730dd4a0907d236ece596991733823024,Codziennie,Codziennie,Codziennie,18-29,Mężczyzna
fcdbc1f341ef9669d9d67177f11b0f491733850240,Codziennie,Codziennie,Codziennie,50-59,Mężczyzna
c097fd4a685e77fb6ce5e29b76e9d6d31733850920,Czasami,Nigdy,Nigdy,18-29,Mężczyzna
81bf264a1e2e461166f266a9508706d31733855655,Codziennie,Czasami,Codziennie,18-29,Mężczyzna
6cc013e00e51314f7685f9b76271f9181733855731,Czasami,Czasami,Nigdy,18-29,Inna
6964b2b5f88ca3dce2f0530d1aa3a7841733862414,Codziennie,Codziennie,Nigdy,18-29,Kobieta
85071567a860c6533fe54d089bd787cd1733867457,Codziennie,Codziennie,Codziennie,18-29,Kobieta
f57540130abbba13f85e56882378ebec1733909727,Codziennie,Codziennie,Codziennie,50-59,Mężczyzna
7e25bec23f0560dee3f921f65af776da1733924168,Codziennie,Codziennie,Nigdy,18-29,Mężczyzna
3d2a82443ec051dd53ad20894b5573ea1733926086,Czasami,Czasami,Nigdy,18-29,Kobieta
06aea76122d81aecb514c6c977ab420c1733927617,Codziennie,Codziennie,Codziennie,18-29,Kobieta
35724aeb1b00ccb31ee46aad7f0c03631733958093,Codziennie,Czasami,Codziennie,18-29,Inna
7db0ca0ac5393364c7ba573fed405ece1734000654,Codziennie,Codziennie,Codziennie,18-29,Kobieta
