ID,Rec,Use,iOS,Age,Gender
56a69c5149bc1ef58f9ab8d169bc0d67,Occasionally,Occasionally,Everyday,40-49,Male
d41b49df86d07998af2b12581c99e7ad,Everyday,Everyday,Occasionally,18-29,Female
8266cbdf0dafaed9dcfce61410cd45d7,Everyday,Occasionally,Everyday,60+,Female
cf1a953dffd2eac7a8e2c5a7c5b51660,Everyday,Everyday,Occasionally,18-29,Female
cf1a953dffd2eac7a8e2c5a7c5b51660,Never,Never,Occasionally,18-29,Male
8266cbdf0dafaed9dcfce61410cd45d7,Everyday,Everyday,Occasionally,18-29,Female
56a69c5149bc1ef58f9ab8d169bc0d67,Occasionally,Occasionally,Everyday,30-39,Other
157010514e44cfed94c59f2ac3176f57,Everyday,Everyday,Everyday,18-29,Female
c614010dfb4bd2849ab95fbc5e56df3d,Occasionally,Occasionally,Everyday,30-39,Other
c614010dfb4bd2849ab95fbc5e56df3d,Never,Everyday,Never,60+,Male
157010514e44cfed94c59f2ac3176f57,Everyday,Everyday,Everyday,30-39,Female
beae995198cb6431f8b7ba843d17e24f,Everyday,Everyday,Everyday,18-29,Female
cfcf21d744fedcbcf8b4045cc7ea1a42,Everyday,Everyday,Everyday,18-29,Female
710a0a26cd5574d475f82b9881a93341,Everyday,Everyday,Everyday,18-29,Female
2865f6dea92f6b77f827c430c1bb493a,Everyday,Occasionally,Never,18-29,Male
f5909faf516fcb7017de24696d756e82,Everyday,Everyday,Everyday,18-29,Female
da7d08240f3bbbb51fb729b80da52140,Occasionally,Occasionally,Everyday,18-29,Female
52b9f6754d9ecd9df67c23bf10d55fb7,Everyday,Everyday,Everyday,18-29,Female
97815aeb9c53f7aebfc35de676c0e021,Everyday,Everyday,Never,18-29,Female
f53044e889f61f0306a71be5131b6dc9,Everyday,Everyday,Occasionally,18-29,Male
055048a48e3f248c8a55b2143e8ba481,Everyday,Everyday,Everyday,18-29,Female
96fbf8e51dddb701d0e916bb7023d803,Everyday,Occasionally,Everyday,18-29,Male
8cfaee7d23d06e8ccfcbc77946514d69,Everyday,Everyday,Never,18-29,Female
081d5ba091fdbed4e44546066a6157d1,Everyday,Everyday,Occasionally,18-29,Female
da7d08240f3bbbb51fb729b80da52140,Everyday,Occasionally,Everyday,30-39,Male
da7d08240f3bbbb51fb729b80da52140,Everyday,Everyday,Never,18-29,Female
e5bea23a6e1c2d3b5532865d529ecca2,Everyday,Everyday,Everyday,30-39,Female
06d5086a2e6a6b1297ff99f93451f76e,Everyday,Occasionally,Everyday,30-39,Male
06d5086a2e6a6b1297ff99f93451f76e,Everyday,Occasionally,Everyday,18-29,Male
da7d08240f3bbbb51fb729b80da52140,Occasionally,Everyday,Occasionally,30-39,Female
da7d08240f3bbbb51fb729b80da52140,Everyday,Everyday,emoji-rec,18-29,Female
7a0fa34915648f0f5c18e37a135e2110,Everyday,Everyday,Everyday,18-29,Male
da7d08240f3bbbb51fb729b80da52140,Everyday,Occasionally,Occasionally,30-39,Female
da7d08240f3bbbb51fb729b80da52140,Everyday,Never,Everyday,18-29,Male
da7d08240f3bbbb51fb729b80da52140,Everyday,Everyday,Occasionally,40-49,Female
